fips,month,avg_temp,min_temp,max_temp
13281,2019-12-01,42.3,32.7,51.9
13283,2019-12-01,53.6,43.1,64.1
13285,2019-12-01,48.2,37.6,58.8
13287,2019-12-01,53.4,43.1,63.6
13289,2019-12-01,52.4,41.8,63
13291,2019-12-01,42.4,32.6,52.1
13293,2019-12-01,50,39.1,61
13295,2019-12-01,45.8,38.1,53.6
13297,2019-12-01,47.7,37.9,57.3
13299,2019-12-01,55.6,43.6,67.6
13301,2019-12-01,50.5,40.5,60.5
13303,2019-12-01,51.7,41.2,62.2
13305,2019-12-01,55.4,43.6,67.2
13307,2019-12-01,51.6,40.9,62.2
13309,2019-12-01,54,43.4,64.5
13311,2019-12-01,44.4,35.2,53.5
13313,2019-12-01,45.8,37.1,54.4
13315,2019-12-01,53.6,43.4,63.8
13317,2019-12-01,48.8,39.1,58.4
13319,2019-12-01,52.3,41.7,62.9
13321,2019-12-01,53.6,43.5,63.8
16001,2019-12-01,36.5,29.4,43.6
16003,2019-12-01,27.8,22.7,32.9
16005,2019-12-01,28.1,22.1,34.1
16007,2019-12-01,23.1,15.6,30.7
16009,2019-12-01,33.2,28.5,37.9
16011,2019-12-01,25.6,18.8,32.6
16013,2019-12-01,23.3,15.2,31.4
16015,2019-12-01,28.4,22.1,34.6
16017,2019-12-01,29.2,24.7,33.7
16019,2019-12-01,24.5,18,31
16021,2019-12-01,27.4,23.4,31.3
16023,2019-12-01,18,7.6,28.4
16025,2019-12-01,23.8,16.1,31.5
16027,2019-12-01,36.2,28.8,43.7
16029,2019-12-01,24.4,17.6,31.1
16031,2019-12-01,29.4,22.6,36.2
16033,2019-12-01,19.5,12,27.1
16035,2019-12-01,29.7,24.6,34.8
16037,2019-12-01,21.1,12.1,30.2
16039,2019-12-01,31.6,24.5,38.6
16041,2019-12-01,26.1,19.2,32.9
16043,2019-12-01,21.5,15,28
16045,2019-12-01,32.5,26.4,38.5
16047,2019-12-01,31.3,24.8,37.9
16049,2019-12-01,27.8,20.9,34.7
16051,2019-12-01,21,13,29.1
16053,2019-12-01,32.7,26,39.5
16055,2019-12-01,32.9,28.8,36.9
16057,2019-12-01,33.1,27.4,38.7
16059,2019-12-01,22.4,14.8,29.9
16061,2019-12-01,31.7,25.5,37.9
16063,2019-12-01,28.5,21.5,35.5
16065,2019-12-01,24.1,17.9,30.3
16067,2019-12-01,28.3,21.2,35.4
16069,2019-12-01,34.8,28.4,41.1
16071,2019-12-01,27.3,20.9,33.7
16073,2019-12-01,32.5,24.6,40.5
16075,2019-12-01,35.5,29,42
16077,2019-12-01,28.2,22,34.3
16079,2019-12-01,29.2,25,33.3
16081,2019-12-01,22.4,15.6,29.2
16083,2019-12-01,31.8,24.1,39.4
16085,2019-12-01,24.3,16.6,32
16087,2019-12-01,30.5,25.2,35.8
17001,2019-12-01,30.4,23.6,37.3
17003,2019-12-01,39.4,32.2,46.6
17005,2019-12-01,34.2,27,41.3
17007,2019-12-01,27.1,20.5,33.7
17009,2019-12-01,30.6,23.8,37.5
17011,2019-12-01,27.8,20.7,34.8
17013,2019-12-01,33.1,26,40.2
17015,2019-12-01,27.1,20.2,34
17017,2019-12-01,31.2,23.9,38.5
17019,2019-12-01,31.9,25.4,38.3
17021,2019-12-01,32.6,25.8,39.4
17023,2019-12-01,34.7,27.6,41.8
17025,2019-12-01,35.8,29,42.6
17027,2019-12-01,35.4,28.1,42.7
17029,2019-12-01,33.4,26.5,40.4
17031,2019-12-01,30.3,24.2,36.4
17033,2019-12-01,35.7,29,42.3
17035,2019-12-01,34.2,27.2,41.1
17037,2019-12-01,27.1,20.5,33.8
17039,2019-12-01,31.3,24.6,38
17041,2019-12-01,33,26.5,39.5
17043,2019-12-01,29.2,22.8,35.6
17045,2019-12-01,33.4,26.5,40.3
17047,2019-12-01,37.6,30.3,45
17049,2019-12-01,34.3,27.8,40.8
17051,2019-12-01,34,27.3,40.7
17053,2019-12-01,31.3,24.9,37.6
17055,2019-12-01,37.3,30.2,44.4
17057,2019-12-01,29.7,22.8,36.6
17059,2019-12-01,38.1,30,46.2
17061,2019-12-01,32.7,25.7,39.6
17063,2019-12-01,29.7,23.2,36.3
17065,2019-12-01,37.7,29.9,45.5
17067,2019-12-01,29.4,22.9,35.9
17069,2019-12-01,38.8,31.4,46.2
17071,2019-12-01,28,21,35
17073,2019-12-01,27.3,20.9,33.8
17075,2019-12-01,32.1,25.5,38.7
17077,2019-12-01,37.1,29.6,44.6
17079,2019-12-01,35.2,28.7,41.6
17081,2019-12-01,36.9,30,43.8
17083,2019-12-01,33.6,26.7,40.6
17085,2019-12-01,25.8,19.2,32.5
17087,2019-12-01,38.2,30.9,45.5
17089,2019-12-01,28,21.4,34.6
17091,2019-12-01,31,24.4,37.5
17093,2019-12-01,28.8,22.2,35.5
17095,2019-12-01,28,21.2,34.7
17097,2019-12-01,29.3,23,35.5
17099,2019-12-01,28.8,22,35.7
17101,2019-12-01,36.7,29.9,43.4
17103,2019-12-01,27.3,20.9,33.7
17105,2019-12-01,30,23.6,36.4
17107,2019-12-01,31.7,25.1,38.3
17109,2019-12-01,29,22.6,35.6
17111,2019-12-01,27.7,21.2,34.2
17113,2019-12-01,30.5,23.9,37
17115,2019-12-01,32,25.1,38.9
17117,2019-12-01,32.8,25.9,39.8
17119,2019-12-01,34,26.9,41
17121,2019-12-01,35.7,28.8,42.6
17123,2019-12-01,29.5,22.4,36.5
17125,2019-12-01,31.2,24.4,38
17127,2019-12-01,39.6,31.8,47.3
17129,2019-12-01,31.4,24.9,38
17131,2019-12-01,27.1,20.3,34
17133,2019-12-01,36.1,28.9,43.3
17135,2019-12-01,33,26,40
17137,2019-12-01,31.7,24.5,38.9
17139,2019-12-01,32.7,26.1,39.2
17141,2019-12-01,27.3,20.9,33.8
17143,2019-12-01,29.5,22.6,36.3
17145,2019-12-01,36.7,29.1,44.2
17147,2019-12-01,31.9,25.4,38.3
17149,2019-12-01,31.5,24.4,38.6
17151,2019-12-01,38.7,31.2,46.1
17153,2019-12-01,39.3,32.1,46.5
17155,2019-12-01,29,21.8,36.2
17157,2019-12-01,36.4,28.8,43.9
17159,2019-12-01,36.2,29.6,42.8
17161,2019-12-01,26.8,20.4,33.3
17163,2019-12-01,35.1,27.8,42.4
17165,2019-12-01,38,30.4,45.5
17167,2019-12-01,32,25.3,38.6
17169,2019-12-01,30.5,23.9,37
17171,2019-12-01,31.9,24.6,39.2
17173,2019-12-01,33,26.5,39.4
17175,2019-12-01,28.4,21.8,35.1
17177,2019-12-01,26.6,19.6,33.5
17179,2019-12-01,30.8,23.9,37.7
17181,2019-12-01,38.1,30.8,45.4
