fips,population,population_per_sqmile
13185,114582,224.06417470083716
13187,31951,112.83790352015443
13189,21498,80.58787146830977
13191,14120,29.10568173239039
13193,13480,33.19731115882544
13195,28900,101.27424984912076
13197,8484,23.107244375985832
13199,21113,41.903200909399786
13201,5836,20.61135423004209
13205,22432,43.50142362463924
13207,27010,67.78674452651586
13209,9036,36.78762078766742
13211,18235,51.21083411131475
13213,39557,114.50126223159455
13215,196670,889.2085045842921
13217,106497,380.3175511887242
13219,37017,200.0663156891621
13221,14784,33.3780021401442
13223,155840,496.74242764060944
13225,26966,177.67272754936502
13227,30832,133.30944875457686
13229,19164,55.86224434472278
13231,18082,82.37545000075573
13233,41621,133.40772139193487
13235,11295,44.81908201540492
13237,21503,59.625121818881794
13239,2276,14.512919312405387
13241,16457,43.59136560778142
13243,7087,16.451142096905276
13245,201463,613.1936558223547
13247,89011,675.4114601559344
13249,5211,31.03701500325445
13251,13990,21.27020570065609
13253,8437,32.89043159973528
13255,64719,324.7547950777652
13257,25676,139.18427915104735
13259,6042,13.02759956919371
13261,30352,61.59967576682542
13263,6378,16.146245444274356
13265,1665,8.499228802294395
13267,25353,51.7477758968484
13269,8193,21.698413125364507
13271,16115,36.2645679161202
13273,8859,26.26404073880888
13275,44730,80.67727780836138
13277,40510,150.2230607163102
13279,27048,72.91757599609515
13281,11417,66.31079474784025
13283,6777,33.167994207174964
13285,69774,156.04442573696267
13287,7962,27.455567139755708
13289,8284,22.850481583332147
13291,22775,69.11366081617511
13293,26216,79.9109670071599
13295,68824,153.77961089629096
13297,90132,273.671935770403
13299,35599,39.1423333814787
13301,5346,18.584279951725993
13303,20461,29.89289334888643
13305,29767,45.72375133342918
13307,2613,12.423108085676759
13309,7939,26.362351387197737
13311,28928,119.43810735805542
13313,103849,357.21610867487584
13315,8846,23.130543704107865
13317,9884,20.842432482662222
13319,9078,19.969869812576896
13321,20656,35.89107396264904
15001,197658,27.14371443354944
15003,987638,860.4118630923005
15005,75,3.1755174228038663
15007,71377,58.782938310057155
15009,165281,77.15936235820618
16001,446052,362.9758359358641
16003,4019,2.546586656322988
16005,85065,66.07817395546817
16007,5962,5.0968458227300175
16009,9086,10.134436338656899
16011,45551,19.183864721188733
16013,21994,7.2845567081813885
16015,7163,3.2646169250440797
16017,42711,19.65953666619576
16019,112397,53.07933285059668
16021,11549,8.007624101803383
16023,2602,1.0322229896913506
16025,886,0.718446336095541
16027,212230,302.2293101295756
16029,6918,3.447494541557831
16031,23615,8.03591319874886
16033,1077,0.5468371601254343
16035,8640,3.061522312811574
16037,4141,0.7395721920744344
16039,26433,7.412031893978663
16041,13279,17.750073324508417
16043,12965,6.165524745372838
16045,17052,26.17086499636599
16047,15169,18.02943479680144
16049,16337,1.6903157429883533
16051,27969,22.709281727687856
16053,23431,34.05193698554425
16055,153605,103.10816612485272
16057,39239,31.971980416661253
16059,7798,1.5155278459795767
16061,3845,7.011876079602649
16063,5321,3.875776296528135
16065,38705,73.33583825380067
16067,20615,23.81610546195324
16069,40155,40.88865761302326
16071,4326,3.197203134909354
16073,11455,1.280136661548999
16075,23041,48.39906290378343
16077,7713,4.754608298820806
16079,12526,4.188387897568504
16081,11080,22.25112152121036
16083,83666,37.911544298540356
16085,10401,2.434492747706941
16087,10025,5.878332263989305
17001,66427,75.88642554597484
17003,6532,25.756171870394034
17005,16712,43.5980525876814
17007,53606,190.51104133057888
17009,6675,21.61438392310862
17011,33381,38.03697244618871
17013,4858,17.058396616461362
17015,14562,31.10140938465343
17017,12665,33.054368578693236
17019,209448,209.86998467831927
17021,33231,46.386928986036665
17023,15836,31.339476366773287
17025,13338,28.5140912025348
17027,37628,74.5380725710659
17029,51736,101.50448873533614
17031,5223719,5454.032969243499
17033,19088,42.61417013262063
17035,10865,31.20268080390448
17037,104200,164.03424105455676
17039,16042,39.560167749175356
17041,19714,47.23688842605942
17043,931743,2770.1601561004977
17045,17539,28.09812074292293
17047,6507,29.09694019390474
17049,34174,70.83459271324973
17051,21724,29.90540825684431
17053,13398,27.444197358918117
17055,39127,90.78060134184265
17057,35418,39.935869984461654
17059,5157,15.647725109595227
17061,13218,24.09062111237476
17063,50509,116.88606621712293
17065,8221,18.834675891180805
17067,18112,22.12518124586214
17069,4009,22.071254328586686
17071,6884,17.306836418309192
17073,49464,59.7339299401493
17075,28169,25.171925414554355
17077,58551,96.71550854128579
17079,9598,19.28427737096311
17081,38169,65.22096626057738
17083,22069,58.32751545633455
17085,21834,35.13750546186897
17087,12602,36.05216090962857
17089,530839,1011.3491337916558
17091,111061,163.0685055411171
17093,124626,387.06802585990556
17095,50999,70.55108183736994
17097,703619,1495.7968325418258
17099,110401,96.15104706107915
17101,16189,43.268144379539415
17103,34527,47.29290174152101
17105,36324,34.62394826953588
17107,29207,47.1522775719466
17109,30875,52.174521128357725
17111,307789,502.24869909399587
17113,173219,145.83576309600457
17115,106512,181.55365871970713
17117,45719,52.61851293473294
17119,265670,356.93829926939264
17121,38084,65.86487311791882
17123,11794,29.56109976020057
17125,13778,24.340087751825415
17127,14430,59.19566763512117
17129,12367,39.17515465916352
17131,15693,27.362527857652985
17133,33936,85.02309617138697
17135,29009,40.76691470141756
17137,34426,59.81158160209095
17139,14703,42.62122576783001
17141,51328,67.16969922253433
17143,184463,291.49339622448406
17145,21384,47.50341789897201
17147,16427,37.32532191641731
